{'label': 'NEGATIVE', 'score': 0.9899831414222717}
{'label': 'POSITIVE', 'score': 0.9833014011383057}
{'label': 'NEGATIVE', 'score': 0.9996513724327087}
{'label': 'NEGATIVE', 'score': 0.9969583749771118}
{'label': 'NEGATIVE', 'score': 0.9295774698257446}
{'label': 'NEGATIVE', 'score': 0.9904369115829468}
{'label': 'NEGATIVE', 'score': 0.7705363631248474}
{'label': 'NEGATIVE', 'score': 0.9987196922302246}
{'label': 'NEGATIVE', 'score': 0.9930346012115479}
{'label': 'NEGATIVE', 'score': 0.9824782013893127}
{'label': 'NEGATIVE', 'score': 0.999688446521759}
{'label': 'NEGATIVE', 'score': 0.9971430897712708}
{'label': 'POSITIVE', 'score': 0.9872650504112244}
{'label': 'NEGATIVE', 'score': 0.9579091668128967}
{'label': 'NEGATIVE', 'score': 0.9956305027008057}
{'label': 'NEGATIVE', 'score': 0.9902572631835938}
{'label': 'NEGATIVE', 'score': 0.9851358532905579}
{'label': 'NEGATIVE', 'score': 0.9996495246887207}
{'label': 'NEGATIVE', 'score': 0.999468207359314}
{'label': 'NEGATIVE', 'score': 0.9994463324546814}
{'label': 'POSITIVE', 'score': 0.9837864637374878}
{'label': 'NEGATIVE', 'score': 0.9966643452644348}
{'label': 'NEGATIVE', 'score': 0.9407743215560913}
{'label': 'POSITIVE', 'score': 0.9578050374984741}
{'label': 'NEGATIVE', 'score': 0.9808546900749207}
{'label': 'NEGATIVE', 'score': 0.9882363080978394}
{'label': 'NEGATIVE', 'score': 0.9949348568916321}
{'label': 'POSITIVE', 'score': 0.889267086982727}
{'label': 'NEGATIVE', 'score': 0.9936846494674683}
{'label': 'NEGATIVE', 'score': 0.5711413025856018}
{'label': 'NEGATIVE', 'score': 0.9989226460456848}
{'label': 'NEGATIVE', 'score': 0.998841404914856}
{'label': 'NEGATIVE', 'score': 0.9916815757751465}
{'label': 'NEGATIVE', 'score': 0.9564704895019531}
{'label': 'NEGATIVE', 'score': 0.9957861304283142}
{'label': 'NEGATIVE', 'score': 0.9987189769744873}
{'label': 'NEGATIVE', 'score': 0.9864587783813477}
{'label': 'NEGATIVE', 'score': 0.9835548400878906}
{'label': 'NEGATIVE', 'score': 0.6453597545623779}
